Ticker,Region,ISIN,Name,BID,Exchange
AAXJ,USA,US4642881829,ISHARES MSCI ALL COUNTRY ASIA EX JAPAN,AAXJ UQ,NYSE
ACWI,USA,US4642882579,ISHARES MSCI ACWI,ACWI UQ,NYSE
AGG,USA,US4642872265,ISHARES CORE U.S. AGGREGATE BOND,ACWI UQ,NYSE
ASHR,USA,US2330518794,DB X-TRACKERS HARVEST CHINA,ACWI UQ,NYSE
ASHS,USA,US2330517549,DB X-TRACKERS HARVEST CSI 500 CHINA-A SHARES SMALL CAP,ACWI UQ,NYSE
BBC,USA,US26923G3011,BIOSHARES BIOTECHNOLOGY CLNCL TRLS,BBC UQ,NYSE
BKLN,USA,US73936Q7694,POWERSHARES SENIOR LOAN PORTFOLIO,BBC UQ,NYSE
BLV,USA,US9219377937,VANGUARD LONG-TERM BOND INDEX,BBC UQ,NYSE
BND,USA,US9219378356,VANGUARD TOTAL BOND MARKET INDEX,BBC UQ,NYSE
BNDX,USA,US92203J4076,VANGUARD TOTAL INTERNTNL BOND,BNDX UQ,NYSE
BNO,USA,US91167Q1004,"UNITED STATES BRENT OIL FUND, LP",BNDX UQ,NYSE
BOND,USA,US72201R7750,PIMCO TOTAL RETURN ACTIVE,BNDX UQ,NYSE
BSV,USA,US9219378273,VANGUARD SHORT-TERM BOND INDEX,BNDX UQ,NYSE
CORN,USA,US88166A1025,TEUCRIUM CORN FUND,BNDX UQ,NYSE
DBA,USA,US73936B4086,POWERSHARES DB AGRICULTURE FUND,BNDX UQ,NYSE
DBEF,USA,US2330512003,DB X-TRACKERS MSCI EAFE HEDGED EQUITY,BNDX UQ,NYSE
DBEU,USA,US2330518539,DB X-TRACKERS MSCI EUROPE HEDGED EQUITY,BNDX UQ,NYSE
DBJP,USA,US2330515071,DEUTSCHE X-TRACKERS MSCI JAPAN HEDGED EQY,BNDX UQ,NYSE
DEM,USA,US97717W3152,WISDOMTREE EMERGING MARKETS HIGH DIV,BNDX UQ,NYSE
DGRO,USA,US46434V6213,ISHARES CORE DIVIDEND GROWTH,BNDX UQ,NYSE
DTN,USA,US97717W4069,WISDOMTREE DIVIDEND EX-FINANCIALS,BNDX UQ,NYSE
DVY,USA,US4642871689,ISHARES DOW JONES SELECT DIVIDEND INDEX,BNDX UQ,NYSE
DWX,USA,US78463X7729,SPDR S&P INTERNATIONAL DIVIDEND,BNDX UQ,NYSE
DXJ,USA,US97717W8516,WISDOMTREE JAPAN HEDGED EQUITY,BNDX UQ,NYSE
EEM,USA,US4642872349,ISHARES MSCI EMERGING MARKETS,BNDX UQ,NYSE
EFA,USA,US4642874659,ISHARES MSCI EAFE INDEX,BNDX UQ,NYSE
EFAV,USA,US46429B6891,ISHARES MSCI EAFE MINIMUM VOLATILITY,BNDX UQ,NYSE
ELD,USA,US97717X8671,WISDOMTREE EMERGING MARKET LOCAL DEBT,BNDX UQ,NYSE
EMB,USA,US4642882819,ISHARES JPMORGAN USD EMERGING MARKETS BOND,BNDX UQ,NYSE
EMLC,USA,US57060U5222,MRKT VECTORS JPM EM LCL CURR BD,BNDX UQ,NYSE
EUSC,USA,US97717X5529,WISDOMTREE EUROPE HEDGED SMALLCAP EQUITY,BNDX UQ,NYSE
EWJ,USA,US4642868487,ISHARES MSCI JAPAN INDEX,BNDX UQ,NYSE
EZU,USA,US4642866085,ISHARES MSCI EUROZONE,BNDX UQ,NYSE
FEZ,USA,US78463X2027,DJ EURO STOXX 50,BNDX UQ,NYSE
FNDF,USA,US8085247554,SCHWB FDMNTL INTL LG CO IN,BNDX UQ,NYSE
GLD,USA,US78463V1070,SPDR GOLD TRUST,BNDX UQ,NYSE
GSG,USA,US46428R1077,ISHARES S&P GSCI COMMODITY-INDEXED,BNDX UQ,NYSE
GSLC,USA,US3814305039,GS ACTIVEBETA U.S. LARGE CAP EQUITY,BNDX UQ,NYSE
